Model,Cable size,Cable Type,Power supply,Input Power,MRP
AS130I,2.5,2,I,1.8,395000
AS170I,2.5,2,I,2.5,475000
AS210I,2.5,3,I,2.9,595000
AS280I,4,3,I,3.8,690000
AS350SI,4,3,III,4.84,860200
AS600SI,4,3,III,8.53,2250000
2X AS350SI,,,III,9.68,1720400
AS1100SI,6,5,III,17.7,3125000
2X AS1100SI,,,III,35.4,6250000
Contact Aqvastar Office,,,,100000,Discuss model with Aqvastar
